,0,1,2,3,4,5
0,https://instagram.com/sakinanba,6737,149041,674,1,1
1,https://instagram.com/feelyujin,2335,172526,273,1,0
2,https://instagram.com/dd9987_,652,98168,702,1,0
3,https://instagram.com/joohea8,511,67251,3576,1,0
4,https://instagram.com/jjjin.young,712,30738,125,1,0
5,https://instagram.com/lovelehee,1213,225430,213,1,0
6,https://instagram.com/hol_ddong,757,41095,369,1,0
7,https://instagram.com/ellelynna,2540,91372,1703,1,0
8,https://instagram.com/binicompany_yy,-1,-1,-1,-1,-1
9,https://instagram.com/b_d.ijin,1189,112514,298,1,0
10,https://instagram.com/kkimhayoung,6240,64978,1104,1,0
11,https://instagram.com/abbielee7,1467,91028,590,1,0
12,https://instagram.com/kiu_design_,1131,114148,534,1,0
13,https://instagram.com/by_ladymimi,10517,46063,396,1,0
14,https://instagram.com/mjkim0108,2232,25741,562,1,0
15,https://instagram.com/shu__________,640,158690,687,1,0
16,https://instagram.com/leeseeraa,2228,74659,128,1,0
17,https://instagram.com/hxnjxwxn,689,88098,273,1,0
18,https://instagram.com/kangnajj,888,63220,280,1,0
19,https://instagram.com/1992.12.11,1422,31433,427,1,0
20,https://instagram.com/nara_crush,97,29332,141,1,0
21,https://instagram.com/hwangbarbie,1933,201492,133,1,0
22,https://instagram.com/jooyeonking,1382,65270,515,1,0
23,https://instagram.com/_eun.me,196,28871,175,1,0
24,https://instagram.com/i.am.mell,263,59903,30,1,1
25,https://instagram.com/kkangsara,1557,86366,6635,1,0
26,https://instagram.com/pila_nyong,623,122292,499,1,0
27,https://instagram.com/chaae.rin,1017,132123,376,1,0
28,https://instagram.com/baeg_,933,53682,222,1,0
29,https://instagram.com/miuforyou,298,154485,1,1,0
30,https://instagram.com/luv_mintminty,718,266383,91,1,0
31,https://instagram.com/diana_park0116,1637,60342,189,1,0
32,https://instagram.com/wsj007,1303,97965,113,1,0
33,https://instagram.com/choonran,814,44204,551,1,0
34,https://instagram.com/6g_s2,-1,-1,-1,-1,-1
35,https://instagram.com/____uhaa,-1,-1,-1,-1,-1
36,https://instagram.com/__ssong2__,441,48002,254,1,0
37,https://instagram.com/by_malla,2055,27859,5482,1,0
38,https://instagram.com/shinae.lee,417,23912,334,1,0
39,https://instagram.com/bbangmi.a,1848,31473,176,1,0
40,https://instagram.com/eaum0801,2466,117521,6966,1,0
41,https://instagram.com/m_chae0_,60,96018,59,0,0
42,https://instagram.com/gnal_nail,1701,64113,191,1,0
